Location,Date,Product_ID,Product_Name,Brand,Quantity (liters/kg),MRP,Total_Value,Shelf_Life (days),Storage_Condition,Production_Date,Expiration_Date,Quantity_Sold (liters/kg),Price_per_Unit (sold),Approx_Total_Revenue(INR),Customer_Location,Sales_Channel,Quantity_in_Stock (liters/kg)
Telangana,2/17/2022,5,Ice Cream,Dodla Dairy,222.4,85.72,19064.128,25,Frozen,12/27/2021,1/21/2022,7,82.24,575.68,Madhya Pradesh,Wholesale,215
Uttar Pradesh,12/1/2021,1,Milk,Amul,687.48,42.61,29293.5228,22,Tetra Pack,10/3/2021,10/25/2021,558,39.24,21895.92,Kerala,Wholesale,129
Tamil Nadu,2/28/2022,4,Yogurt,Dodla Dairy,503.48,36.5,18377.02,30,Refrigerated,1/14/2022,2/13/2022,256,33.81,8655.36,Madhya Pradesh,Online,247
Telangana,6/9/2019,3,Cheese,Britannia Industries,823.36,26.52,21835.5072,72,Frozen,5/15/2019,7/26/2019,601,28.92,17380.92,Rajasthan,Online,222
Maharashtra,12/14/2020,8,Buttermilk,Mother Dairy,147.77,83.85,12390.5145,11,Refrigerated,10/17/2020,10/28/2020,145,83.07,12045.15,Jharkhand,Retail,2
Telangana,1/7/2019,6,Curd,Raj,593.92,85.54,50803.9168,5,Refrigerated,1/3/2019,1/8/2019,74,84.75,6271.5,Gujarat,Retail,519
Karnataka,8/5/2022,3,Cheese,Dynamix Dairies,757.14,36.83,27885.4662,83,Frozen,6/14/2022,9/5/2022,410,32.66,13390.6,Karnataka,Online,347
Bihar,2/14/2019,9,Paneer,Mother Dairy,203.36,29.08,5913.7088,14,Refrigerated,1/6/2019,1/20/2019,15,29.09,436.35,Haryana,Online,188
West Bengal,8/2/2020,6,Curd,Raj,949.12,22.79,21630.4448,6,Refrigerated,6/6/2020,6/12/2020,860,24.77,21302.2,Jharkhand,Wholesale,89
Telangana,3/4/2022,8,Buttermilk,Mother Dairy,385.64,42.08,16227.7312,9,Refrigerated,2/3/2022,2/12/2022,108,46.15,4984.2,Tamil Nadu,Retail,277
Madhya Pradesh,12/22/2021,4,Yogurt,Dodla Dairy,52.62,67.23,3537.6426,24,Refrigerated,11/2/2021,11/26/2021,22,68.09,1497.98,Kerala,Wholesale,30
Chandigarh,10/14/2020,7,Lassi,Sudha,653.04,84.6,55247.184,14,Refrigerated,8/22/2020,9/5/2020,345,88.05,30377.25,Karnataka,Online,308
Delhi,2/18/2020,3,Cheese,Passion Cheese,12.39,58.28,722.0892,69,Refrigerated,1/18/2020,3/27/2020,1,58.09,58.09,West Bengal,Retail,11
Telangana,12/26/2019,5,Ice Cream,Mother Dairy,612.16,94.43,57806.2688,25,Frozen,12/15/2019,1/9/2020,80,94.32,7545.6,Madhya Pradesh,Online,532
Gujarat,4/10/2022,5,Ice Cream,Dodla Dairy,797.69,88.66,70723.1954,28,Frozen,3/26/2022,4/23/2022,645,93.51,60313.95,Karnataka,Retail,152
Kerala,2/22/2020,1,Milk,Mother Dairy,821.52,11.58,9513.2016,1,Polythene Packet,1/31/2020,2/1/2020,778,8.69,6760.82,Gujarat,Retail,43
Madhya Pradesh,12/17/2022,10,Ghee,Mother Dairy,663.34,48.83,32390.8922,138,Ambient,11/26/2022,4/13/2023,438,52.79,23122.02,Tamil Nadu,Retail,225
Kerala,6/24/2020,6,Curd,Amul,385.41,26.18,10090.0338,6,Refrigerated,5/8/2020,5/14/2020,270,30.27,8172.9,Madhya Pradesh,Online,115
Madhya Pradesh,1/19/2020,8,Buttermilk,Amul,367.14,41.05,15071.097,10,Refrigerated,12/1/2019,12/11/2019,309,40.75,12591.75,West Bengal,Online,58
Tamil Nadu,6/15/2021,1,Milk,Amul,896.89,93.72,84056.5308,28,Tetra Pack,5/22/2021,6/19/2021,486,96.08,46694.88,Telangana,Wholesale,410
Jharkhand,5/19/2020,9,Paneer,Raj,88.69,87.53,7763.0357,10,Refrigerated,4/4/2020,4/14/2020,26,87.3,2269.8,Chandigarh,Wholesale,62
Bihar,8/8/2022,3,Cheese,Britannia Industries,220.03,13.94,3067.2182,43,Frozen,7/1/2022,8/13/2022,62,14.13,876.06,Telangana,Online,158
Gujarat,4/16/2020,4,Yogurt,Amul,524.57,84.48,44315.6736,28,Frozen,4/4/2020,5/2/2020,173,89.32,15452.36,Tamil Nadu,Retail,351
Karnataka,3/3/2022,3,Cheese,Britannia Industries,879.11,90.1,79207.811,36,Frozen,2/4/2022,3/12/2022,610,91.05,55540.5,Rajasthan,Online,269
Maharashtra,10/24/2021,6,Curd,Sudha,212.56,81.31,17283.2536,5,Refrigerated,8/26/2021,8/31/2021,55,76.37,4200.35,Tamil Nadu,Online,157
Rajasthan,11/17/2021,9,Paneer,Sudha,886.35,62.21,55139.8335,8,Refrigerated,10/23/2021,10/31/2021,845,66.7,56361.5,Jharkhand,Wholesale,41
Madhya Pradesh,7/26/2022,2,Butter,Warana,430.46,89.64,38586.4344,37,Frozen,7/5/2022,8/11/2022,47,92.96,4369.12,Maharashtra,Wholesale,383
Jharkhand,9/25/2022,2,Butter,Warana,440.42,77.46,34114.9332,36,Frozen,8/20/2022,9/25/2022,246,77.53,19072.38,Chandigarh,Retail,194
Chandigarh,6/24/2020,6,Curd,Mother Dairy,565.23,86.39,48830.2197,6,Refrigerated,5/21/2020,5/27/2020,305,84.57,25793.85,Maharashtra,Retail,260
Kerala,1/13/2021,7,Lassi,Sudha,101.56,18.99,1928.6244,14,Refrigerated,1/7/2021,1/21/2021,26,21.19,550.94,Tamil Nadu,Retail,75
Chandigarh,5/25/2020,9,Paneer,Amul,770.27,80.1,61698.627,7,Refrigerated,5/2/2020,5/9/2020,557,81.76,45540.32,Madhya Pradesh,Retail,213
Delhi,3/27/2020,2,Butter,Amul,985.95,92.69,91387.7055,28,Refrigerated,2/21/2020,3/20/2020,56,96.86,5424.16,Rajasthan,Retail,929
Bihar,1/1/2022,9,Paneer,Mother Dairy,595.79,44.3,26393.497,12,Refrigerated,11/28/2021,12/10/2021,137,46.82,6414.34,Madhya Pradesh,Wholesale,458
Tamil Nadu,10/2/2019,10,Ghee,Amul,581.5,43.88,25516.22,136,Ambient,8/23/2019,1/6/2020,86,41.49,3568.14,Delhi,Wholesale,495
Karnataka,5/14/2019,4,Yogurt,Dodla Dairy,332.87,97.87,32577.9869,22,Frozen,3/19/2019,4/10/2019,95,101.56,9648.2,Karnataka,Retail,237
Bihar,4/28/2022,1,Milk,Raj,652.4,61.24,39952.976,1,Polythene Packet,4/12/2022,4/13/2022,389,65.53,25491.17,Telangana,Retail,263
Chandigarh,1/11/2020,10,Ghee,Amul,486.43,27.23,13245.4889,129,Ambient,12/20/2019,4/27/2020,384,25.51,9795.84,Kerala,Online,102
Maharashtra,1/28/2021,7,Lassi,Sudha,524.71,49.39,25915.4269,17,Refrigerated,12/22/2020,1/8/2021,167,45.86,7658.62,Gujarat,Retail,357
Karnataka,7/11/2022,7,Lassi,Sudha,675.65,36.87,24911.2155,12,Refrigerated,5/28/2022,6/9/2022,671,32.92,22089.32,Rajasthan,Wholesale,4
Jharkhand,6/9/2021,6,Curd,Amul,267.21,27.31,7297.5051,6,Refrigerated,4/18/2021,4/24/2021,116,22.62,2623.92,Kerala,Wholesale,151
Chandigarh,2/23/2019,8,Buttermilk,Mother Dairy,801.25,34.8,27883.5,14,Refrigerated,1/25/2019,2/8/2019,292,38.9,11358.8,Telangana,Wholesale,509
Delhi,12/11/2019,7,Lassi,Raj,112.8,91.62,10334.736,13,Refrigerated,10/30/2019,11/12/2019,104,93.93,9768.72,Bihar,Retail,8
Tamil Nadu,2/8/2022,7,Lassi,Sudha,797.52,92.04,73403.7408,13,Refrigerated,1/13/2022,1/26/2022,715,89.08,63692.2,Haryana,Wholesale,82
Chandigarh,4/9/2021,5,Ice Cream,Amul,675.77,52.35,35376.5595,24,Frozen,2/20/2021,3/16/2021,6,54.41,326.46,Gujarat,Wholesale,669
Rajasthan,10/23/2019,1,Milk,Sudha,865.01,46.37,40110.5137,2,Polythene Packet,10/11/2019,10/13/2019,302,42.34,12786.68,Delhi,Retail,563
Chandigarh,9/20/2019,2,Butter,Amul,8.47,90.79,768.9913,38,Refrigerated,8/12/2019,9/19/2019,3,87.28,261.84,Delhi,Retail,5
Madhya Pradesh,2/1/2021,9,Paneer,Amul,381.78,23.83,9097.8174,10,Refrigerated,12/20/2020,12/30/2020,82,20.25,1660.5,Delhi,Wholesale,299
Madhya Pradesh,5/3/2020,1,Milk,Raj,834.13,25.48,21253.6324,1,Polythene Packet,3/25/2020,3/26/2020,406,27.22,11051.32,Telangana,Online,428
Haryana,8/15/2019,7,Lassi,Amul,681.45,78.56,53534.712,16,Refrigerated,7/4/2019,7/20/2019,552,74.45,41096.4,Haryana,Retail,129
Chandigarh,3/3/2019,9,Paneer,Raj,988.64,55.77,55136.4528,9,Refrigerated,2/25/2019,3/6/2019,262,52.57,13773.34,Telangana,Retail,726
Jharkhand,11/28/2019,8,Buttermilk,Mother Dairy,410.48,41.31,16956.9288,11,Refrigerated,10/27/2019,11/7/2019,141,43.02,6065.82,Delhi,Online,269
Rajasthan,3/8/2021,5,Ice Cream,Dodla Dairy,351.11,58.25,20452.1575,29,Frozen,3/3/2021,4/1/2021,305,62.31,19004.55,Rajasthan,Online,46
Rajasthan,1/16/2020,8,Buttermilk,Mother Dairy,83.31,62.03,5167.7193,13,Refrigerated,1/14/2020,1/27/2020,62,65.24,4044.88,West Bengal,Retail,21
Delhi,1/7/2019,2,Butter,Amul,30.69,89.8,2755.962,29,Frozen,11/28/2018,12/27/2018,22,92.23,2029.06,Uttar Pradesh,Retail,8
Kerala,5/15/2021,9,Paneer,Sudha,9.78,82.89,810.6642,14,Refrigerated,3/31/2021,4/14/2021,2,85.42,170.84,Madhya Pradesh,Wholesale,7
Maharashtra,9/22/2022,3,Cheese,Passion Cheese,953.21,48.71,46430.8591,42,Refrigerated,8/28/2022,10/9/2022,705,45.04,31753.2,Chandigarh,Retail,248
Telangana,5/26/2021,7,Lassi,Amul,707.2,98.37,69567.264,12,Refrigerated,5/14/2021,5/26/2021,145,101.64,14737.8,Kerala,Retail,562
Maharashtra,4/20/2021,6,Curd,Raj,839.1,56.07,47048.337,6,Refrigerated,4/1/2021,4/7/2021,11,58.17,639.87,Gujarat,Online,828
Delhi,2/7/2021,10,Ghee,Mother Dairy,960.28,68.66,65932.8248,137,Ambient,1/13/2021,5/30/2021,956,69.79,66719.24,Tamil Nadu,Wholesale,4
Telangana,9/22/2020,4,Yogurt,Palle2patnam,65.8,82.43,5423.894,30,Frozen,9/21/2020,10/21/2020,26,84.9,2207.4,Maharashtra,Online,39
Rajasthan,11/17/2019,10,Ghee,Sudha,685.84,92.97,63762.5448,143,Ambient,11/7/2019,3/29/2020,634,95.09,60287.06,Chandigarh,Retail,51
Delhi,12/18/2022,4,Yogurt,Dodla Dairy,754.25,20.21,15243.3925,28,Frozen,10/24/2022,11/21/2022,290,21.16,6136.4,Rajasthan,Online,464
Chandigarh,1/2/2021,5,Ice Cream,Palle2patnam,750.7,86.58,64995.606,26,Frozen,12/4/2020,12/30/2020,696,83.73,58276.08,Delhi,Wholesale,54
